Albania,Vodafone ,715
Algeria,Djezzy ,2074
Algeria,Mobilis ,4
Algeria,Ooredoo ,2075
American Samoa,BlueSky  USD,2099
Angola,Movicel  USD,2361
Anguilla,Digicel  USD,1786
Anguilla,Flow ,1550
Antigua and Barbuda,Digicel  USD,1787
Antigua and Barbuda,Flow ,1539
Argentina,Claro ,1693
Argentina,Nextel ,438
Argentina,Personal ,1770
Armenia,UCom ,1925
Armenia,VivaCell-MTS  USD,1785
Aruba,Digicel  USD,1788
Austria,T-Mobile PIN ,2157
Bahamas,BTC ,2032
Bahrain,Batelco PIN ,1828
Bahrain,Viva ,1827
Bahrain,Zain ,1829
Bangladesh,CityCell ,137
Bangladesh,Teletalk ,1448
Barbados,Digicel  USD,1789
Barbados,Flow ,1540
Belarus,JLLC MTS  USD,2164
Belarus,Life  USD,2163
Belgium,Proximus PIN ,2149
Belgium,Viber EUR ,2680
Belize,Telemedia  USD,2100
Benin,Moov ,1522
Bermuda,Digicel  USD,1889
Botswana,BeMobile PIN ,2438
Botswana,Mascom PIN ,2439
Botswana,Orange PIN ,2437
British Virgin Islands,Digicel  USD,1790
British Virgin Islands,Flow ,1541
Burundi,Econet Leo ,1614
Burundi,Smart ,1922
Canada,Bell PIN ,2104
Canada,ChatR PIN ,2344
Canada,Fido PIN ,2105
Canada,Koodo PIN ,2345
Canada,MTS PIN ,2346
Canada,PublicMobile PIN ,2347
Canada,Rogers PIN ,2106
Canada,Solo PIN ,2348
Canada,Telus PIN ,2103
Canada,Virgin PIN ,2349
Canada,Wind PIN ,2350
Cape Verde,CV Movel ,100
Cayman Islands,Digicel  USD,1791
Cayman Islands,Flow ,1542
Central African Republic,Moov ,1524
Chile,Claro BAM ,2006
Chile,Claro ,1478
Chile,Claro TV ,2004
Chile,DirecTV ,2003
Chile,Entel BAM ,2007
Chile,Entel ,1479
Chile,Falabella ,1999
Chile,Movistar BAM ,2005
Chile,Movistar ,1471
Chile,Nextel BAM ,2008
Chile,Telsur  USD,1881
Chile,VTR BAM ,2009
Chile,VTR ,2002
Chile,Virgin Mobile ,2001
Chile,Wom ,2000
Colombia,Claro ,51
Colombia,Virgin Mobile ,1897
Costa Rica,Claro  USD,1929
Costa Rica,Full Movil  USD,2095
Costa Rica,Kolbi  USD,1626
Costa Rica,Tuyo  USD,1905
Democratic Republic of the Congo,Orange DRC,1835
Dominica,Digicel  USD,1792
Dominica,Flow ,1543
Dominican Republic,Claro DR,1496
Dominican Republic,Moun DR USD,1821
Dominican Republic,Orange DR USD,1570
Dominican Republic,Tricom DR,1560
Dominican Republic,Viva DR,1488
Ecuador,CNT ,1597
Ecuador,Tuenti ,2683
El Salvador,Claro  Bundles USD,2686
El Salvador,Digicel Bundles ,2030
El Salvador,Tigo  Bundles,2709
Ethiopia,Ethiotelecom ,210
Fiji,Digicel ,1466
